Month,Industries_luok,Information,value
2003M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2003M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",33
2003M01,Construction,"Bankruptcies instigated, number of enterprises",28
2003M01,Trade,"Bankruptcies instigated, number of enterprises",32
2003M01,Transport and storage,"Bankruptcies instigated, number of enterprises",17
2003M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",16
2003M01,Other service activities,"Bankruptcies instigated, number of enterprises",40
2003M01,Industry unknown,"Bankruptcies instigated, number of enterprises",26
2003M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2003M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",40
2003M02,Construction,"Bankruptcies instigated, number of enterprises",46
2003M02,Trade,"Bankruptcies instigated, number of enterprises",36
2003M02,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2003M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2003M02,Other service activities,"Bankruptcies instigated, number of enterprises",54
2003M02,Industry unknown,"Bankruptcies instigated, number of enterprises",21
2003M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2003M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",36
2003M03,Construction,"Bankruptcies instigated, number of enterprises",44
2003M03,Trade,"Bankruptcies instigated, number of enterprises",43
2003M03,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2003M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",12
2003M03,Other service activities,"Bankruptcies instigated, number of enterprises",60
2003M03,Industry unknown,"Bankruptcies instigated, number of enterprises",29
2003M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2003M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",29
2003M04,Construction,"Bankruptcies instigated, number of enterprises",47
2003M04,Trade,"Bankruptcies instigated, number of enterprises",47
2003M04,Transport and storage,"Bankruptcies instigated, number of enterprises",23
2003M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2003M04,Other service activities,"Bankruptcies instigated, number of enterprises",61
2003M04,Industry unknown,"Bankruptcies instigated, number of enterprises",37
2003M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",3
2003M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2003M05,Construction,"Bankruptcies instigated, number of enterprises",40
2003M05,Trade,"Bankruptcies instigated, number of enterprises",28
2003M05,Transport and storage,"Bankruptcies instigated, number of enterprises",16
2003M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",15
2003M05,Other service activities,"Bankruptcies instigated, number of enterprises",52
2003M05,Industry unknown,"Bankruptcies instigated, number of enterprises",31
2003M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2003M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",33
2003M06,Construction,"Bankruptcies instigated, number of enterprises",50
2003M06,Trade,"Bankruptcies instigated, number of enterprises",45
2003M06,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2003M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2003M06,Other service activities,"Bankruptcies instigated, number of enterprises",62
2003M06,Industry unknown,"Bankruptcies instigated, number of enterprises",21
2003M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2003M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",19
2003M07,Construction,"Bankruptcies instigated, number of enterprises",18
2003M07,Trade,"Bankruptcies instigated, number of enterprises",26
2003M07,Transport and storage,"Bankruptcies instigated, number of enterprises",11
2003M07,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",8
2003M07,Other service activities,"Bankruptcies instigated, number of enterprises",34
2003M07,Industry unknown,"Bankruptcies instigated, number of enterprises",23
2003M08,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2003M08,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2003M08,Construction,"Bankruptcies instigated, number of enterprises",34
2003M08,Trade,"Bankruptcies instigated, number of enterprises",42
2003M08,Transport and storage,"Bankruptcies instigated, number of enterprises",15
2003M08,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2003M08,Other service activities,"Bankruptcies instigated, number of enterprises",56
2003M08,Industry unknown,"Bankruptcies instigated, number of enterprises",22
2003M09,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2003M09,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",35
2003M09,Construction,"Bankruptcies instigated, number of enterprises",46
2003M09,Trade,"Bankruptcies instigated, number of enterprises",60
2003M09,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2003M09,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2003M09,Other service activities,"Bankruptcies instigated, number of enterprises",73
2003M09,Industry unknown,"Bankruptcies instigated, number of enterprises",33
2003M10,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2003M10,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",42
2003M10,Construction,"Bankruptcies instigated, number of enterprises",50
2003M10,Trade,"Bankruptcies instigated, number of enterprises",72
2003M10,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2003M10,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",21
2003M10,Other service activities,"Bankruptcies instigated, number of enterprises",66
2003M10,Industry unknown,"Bankruptcies instigated, number of enterprises",31
2003M11,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2003M11,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2003M11,Construction,"Bankruptcies instigated, number of enterprises",42
2003M11,Trade,"Bankruptcies instigated, number of enterprises",36
2003M11,Transport and storage,"Bankruptcies instigated, number of enterprises",12
2003M11,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",18
2003M11,Other service activities,"Bankruptcies instigated, number of enterprises",58
2003M11,Industry unknown,"Bankruptcies instigated, number of enterprises",21
2003M12,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2003M12,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2003M12,Construction,"Bankruptcies instigated, number of enterprises",28
2003M12,Trade,"Bankruptcies instigated, number of enterprises",28
2003M12,Transport and storage,"Bankruptcies instigated, number of enterprises",13
2003M12,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",11
2003M12,Other service activities,"Bankruptcies instigated, number of enterprises",45
2003M12,Industry unknown,"Bankruptcies instigated, number of enterprises",37
2004M01,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",6
2004M01,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",31
2004M01,Construction,"Bankruptcies instigated, number of enterprises",51
2004M01,Trade,"Bankruptcies instigated, number of enterprises",37
2004M01,Transport and storage,"Bankruptcies instigated, number of enterprises",19
2004M01,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",14
2004M01,Other service activities,"Bankruptcies instigated, number of enterprises",65
2004M01,Industry unknown,"Bankruptcies instigated, number of enterprises",18
2004M02,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",4
2004M02,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",32
2004M02,Construction,"Bankruptcies instigated, number of enterprises",36
2004M02,Trade,"Bankruptcies instigated, number of enterprises",36
2004M02,Transport and storage,"Bankruptcies instigated, number of enterprises",10
2004M02,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",8
2004M02,Other service activities,"Bankruptcies instigated, number of enterprises",52
2004M02,Industry unknown,"Bankruptcies instigated, number of enterprises",24
2004M03,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",10
2004M03,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2004M03,Construction,"Bankruptcies instigated, number of enterprises",50
2004M03,Trade,"Bankruptcies instigated, number of enterprises",49
2004M03,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2004M03,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",20
2004M03,Other service activities,"Bankruptcies instigated, number of enterprises",63
2004M03,Industry unknown,"Bankruptcies instigated, number of enterprises",24
2004M04,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",7
2004M04,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",26
2004M04,Construction,"Bankruptcies instigated, number of enterprises",38
2004M04,Trade,"Bankruptcies instigated, number of enterprises",36
2004M04,Transport and storage,"Bankruptcies instigated, number of enterprises",7
2004M04,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",13
2004M04,Other service activities,"Bankruptcies instigated, number of enterprises",41
2004M04,Industry unknown,"Bankruptcies instigated, number of enterprises",20
2004M05,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",2
2004M05,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",25
2004M05,Construction,"Bankruptcies instigated, number of enterprises",34
2004M05,Trade,"Bankruptcies instigated, number of enterprises",27
2004M05,Transport and storage,"Bankruptcies instigated, number of enterprises",8
2004M05,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2004M05,Other service activities,"Bankruptcies instigated, number of enterprises",45
2004M05,Industry unknown,"Bankruptcies instigated, number of enterprises",20
2004M06,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",8
2004M06,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",30
2004M06,Construction,"Bankruptcies instigated, number of enterprises",36
2004M06,Trade,"Bankruptcies instigated, number of enterprises",33
2004M06,Transport and storage,"Bankruptcies instigated, number of enterprises",20
2004M06,Hotels and restaurants,"Bankruptcies instigated, number of enterprises",17
2004M06,Other service activities,"Bankruptcies instigated, number of enterprises",44
2004M06,Industry unknown,"Bankruptcies instigated, number of enterprises",31
2004M07,"Agriculture, forestry and fishing","Bankruptcies instigated, number of enterprises",1
2004M07,"Manufacturing, mining and energy and water supply","Bankruptcies instigated, number of enterprises",22
2004M07,Construction,"Bankruptcies instigated, number of enterprises",20
2004M07,Trade,"Bankruptcies instigated, number of enterprises",28
